restaurant_name,restaurant_type,rate_out_of_5,num_of_ratings,avg_cost_two_people,online_order,table_booking,cuisines_type,area,local_address,clean_name
Chung Wah,casual dining,2.5,73,800.0,No,No,"chinese, momos",whitefield,"itpl main road, whitefield",Chung Wah
Chung Wah Express,casual dining,2.8,94,600.0,Yes,No,"chinese, thai, momos, vietnamese",brigade road,indiranagar,Chung Wah Express
Chung Wah Opus,casual dining,3.0,57,650.0,Yes,No,"chinese, thai",bannerghatta road,jp nagar,Chung Wah Opus
Chung's Chinese Corner,casual dining,2.7,283,700.0,Yes,No,chinese,church street,indiranagar,Chung's Chinese Corner
Chungs Pavilion,casual dining,3.9,247,650.0,Yes,No,chinese,indiranagar,indiranagar,Chungs Pavilion
Church Street Social,lounge,4.3,7544,1500.0,Yes,No,"american, north indian, chinese, finger food, momos",brigade road,church street,Church Street Social
Churchill's,"casual dining, pub",4.1,1403,1100.0,Yes,Yes,"north indian, continental",bannerghatta road,jp nagar,Churchill's
Churn,quick bites,4.2,58,250.0,Yes,No,"desserts, ice cream",malleshwaram,new bel road,Churn
Churrascaria Brazil,casual dining,4.1,111,1400.0,No,No,european,kalyan nagar,kammanahalli,Churrascaria Brazil
Chutney Chang,casual dining,4.1,2339,1500.0,Yes,Yes,"north indian, chinese, bbq",banashankari,jayanagar,Chutney Chang
Ciclo Cafe,"cafe, casual dining",4.3,1269,1000.0,Yes,No,"cafe, italian, american",indiranagar,indiranagar,Ciclo Cafe
Ciclo Life,delivery,2.8,40,400.0,No,No,"salad, beverages, juices",old airport road,indiranagar,Ciclo Life
Cilantro,"casual dining, bar",4.0,280,1500.0,Yes,Yes,"european, american, continental, north indian, steak","byresandra,tavarekere,madiwala",koramangala 4th block,Cilantro
Cinnabon,quick bites,4.0,80,400.0,No,No,"beverages, american, bakery",whitefield,whitefield,Cinnabon
Cinnamon,casual dining,3.7,28,1000.0,No,No,"north indian, asian, continental",lavelle road,seshadripuram,Cinnamon
Cinnamon - Grills and Gourmet,quick bites,3.6,10,400.0,No,No,"chinese, south indian",new bel road,new bel road,Cinnamon - Grills and Gourmet
"Cinnamon - Renaissance Hotel, Bengaluru",dessert parlor,4.3,236,500.0,No,No,desserts,malleshwaram,race course road,"Cinnamon - Renaissance Hotel, Bengaluru"
Cinnamon's Kitchen,quick bites,3.7,25,300.0,Yes,No,"north indian, south indian, fast food",indiranagar,old airport road,Cinnamon's Kitchen
Cirkus,"bar, casual dining",4.3,331,1400.0,No,Yes,"north indian, continental, fast food, beverages, pizza",hsr,hsr,Cirkus
Cita Pani,quick bites,3.8,55,350.0,Yes,Yes,"biryani, north indian, arabian",old airport road,indiranagar,Cita Pani
Citrus - The Leela Palace,fine dining,4.2,589,3500.0,No,Yes,"north indian, italian, asian, continental, mediterranean",indiranagar,old airport road,Citrus - The Leela Palace
Citrus Cafe - Lemon Tree Hotel,casual dining,3.8,118,1900.0,No,No,"north indian, continental, south indian, asian",brookefield,whitefield,Citrus Cafe - Lemon Tree Hotel
Citrus Cafe - Lemon Tree Premier,casual dining,3.9,183,2200.0,No,No,"north indian, continental, south indian",brigade road,ulsoor,Citrus Cafe - Lemon Tree Premier
City Cafe,"beverage shop, quick bites",3.3,4,200.0,Yes,No,"beverages, juices, fast food, rolls",jayanagar,jp nagar,City Cafe
City Durbar,casual dining,3.7,71,450.0,Yes,No,"north indian, chinese, biryani",basavanagudi,jayanagar,City Durbar
CK's Bakery,bakery,2.8,40,200.0,Yes,No,"bakery, fast food",indiranagar,city market,CK's Bakery
Classic Biryani Hut,quick bites,3.4,10,300.0,Yes,No,"biryani, fast food","byresandra,tavarekere,madiwala",hsr,Classic Biryani Hut
Classic Lassi Shop,beverage shop,3.4,43,150.0,Yes,No,"beverages, ice cream",lavelle road,ulsoor,Classic Lassi Shop
Classic Shop,beverage shop,3.3,6,150.0,Yes,No,"juices, beverages",brigade road,ulsoor,Classic Shop
Clean Bowled,"takeaway, delivery",3.3,4,300.0,Yes,No,"healthy food, salad",koramangala 6th block,indiranagar,Clean Bowled
Clean Eats,"takeaway, delivery",2.8,40,300.0,No,No,healthy food,electronic city,electronic city,Clean Eats
Clean Slate Cafe,cafe,4.1,272,600.0,Yes,No,"cafe, continental, italian",malleshwaram,malleshwaram,Clean Slate Cafe
Cloud Foods,casual dining,2.8,40,600.0,No,No,"bbq, biryani, charcoal chicken, chinese, north indian, kerala, seafood, street food",brigade road,hsr,Cloud Foods
CloudNYN - Sterling Mac Hotel,bar,4.0,417,1000.0,No,No,finger food,old airport road,old airport road,CloudNYN - Sterling Mac Hotel
Clove Rooftop,casual dining,3.8,234,1000.0,No,Yes,"konkan, seafood",jayanagar,jayanagar,Clove Rooftop
Cluxi,quick bites,3.6,15,300.0,No,No,fast food,kalyan nagar,kammanahalli,Cluxi
Coal Grill & Cafe,quick bites,3.3,8,300.0,No,No,arabian,"byresandra,tavarekere,madiwala",btm,Coal Grill & Cafe
Coast,casual dining,3.2,68,750.0,Yes,No,"seafood, mangalorean, north indian, biryani",old airport road,jeevan bhima nagar,Coast
Coastal Biryani Paradise,casual dining,3.9,140,500.0,Yes,No,"north indian, chinese, biryani",malleshwaram,rt nagar,Coastal Biryani Paradise
Coastal Creek,casual dining,3.3,13,600.0,No,No,"north indian, continental, south indian",church street,vasanth nagar,Coastal Creek
Coastal Curry,quick bites,3.5,15,350.0,Yes,No,"north indian, andhra, chinese, seafood",rajajinagar,vijay nagar,Coastal Curry
Coastal Delight,casual dining,4.1,198,650.0,Yes,No,"seafood, south indian, north indian, mangalorean, chinese",brigade road,indiranagar,Coastal Delight
Coastal Express,quick bites,3.4,35,300.0,Yes,No,south indian,malleshwaram,malleshwaram,Coastal Express
Coastal Fish Land,casual dining,2.8,40,500.0,Yes,No,mangalorean,bellandur,bellandur,Coastal Fish Land
Coastal Hub,casual dining,4.0,364,700.0,Yes,Yes,"kerala, seafood, chinese",brookefield,whitefield,Coastal Hub
Coastal Inn,casual dining,3.4,66,800.0,No,No,"chinese, north indian, seafood",bannerghatta road,bannerghatta road,Coastal Inn
Coastal Mama,casual dining,4.1,466,700.0,No,Yes,"konkan, mangalorean, north indian, seafood",bannerghatta road,jp nagar,Coastal Mama
Coastal Paradise Family Restaurant,quick bites,2.8,40,450.0,No,No,"north indian, chinese, seafood",koramangala 7th block,wilson garden,Coastal Paradise Family Restaurant
Coastal Spice,casual dining,3.7,56,900.0,Yes,Yes,"seafood, north indian, chinese, continental, mangalorean",malleshwaram,rajajinagar,Coastal Spice
Cobaja,casual dining,4.2,82,700.0,Yes,Yes,"seafood, south indian, bar food, mangalorean, konkan",residency road,brigade road,Cobaja
Cochin Connection,food court,3.6,41,500.0,Yes,No,"kerala, south indian","byresandra,tavarekere,madiwala",koramangala 6th block,Cochin Connection
Coco Barista,cafe,2.8,40,400.0,No,No,"cafe, beverages","byresandra,tavarekere,madiwala",btm,Coco Barista
Coco Grove Beer Cafe,casual dining,3.8,150,800.0,No,No,continental,brigade road,church street,Coco Grove Beer Cafe
Cocoa Bakes,bakery,3.6,14,350.0,Yes,No,"bakery, desserts",banashankari,banashankari,Cocoa Bakes
Cocoa 'n' CrÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂ¨me,bakery,3.5,11,250.0,No,No,"bakery, desserts",bannerghatta road,jp nagar,Cocoa 'n' CrÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂ¨me
CocoFresh,food court,3.3,4,300.0,No,No,beverages,brookefield,brookefield,CocoFresh
Coconadu,"food court, quick bites",3.6,36,400.0,No,No,"kerala, konkan",koramangala 4th block,koramangala 7th block,Coconadu
Coconut Grove,"casual dining, bar",3.3,97,1100.0,No,No,"south indian, chettinad, kerala, seafood",jayanagar,jp nagar,Coconut Grove
Coffee Bike,kiosk,3.7,15,250.0,No,No,"fast food, beverages",bellandur,bellandur,Coffee Bike
Coffee Bytes,quick bites,3.1,6,100.0,No,No,"fast food, south indian",banashankari,banashankari,Coffee Bytes
Coffee House,quick bites,3.3,6,150.0,No,No,south indian,lavelle road,majestic,Coffee House
Coffee Mechanics,cafe,4.3,191,700.0,Yes,No,"cafe, bakery, french, jewish, sandwich, vegan, coffee",kalyan nagar,hbr layout,Coffee Mechanics
Coffee Mug Cafe,cafe,3.7,23,400.0,No,No,"cafe, chinese, north indian, fast food",marathahalli,marathahalli,Coffee Mug Cafe
Coffee Tea & More,quick bites,4.0,63,150.0,Yes,No,"beverages, sandwich","byresandra,tavarekere,madiwala",koramangala 5th block,Coffee Tea & More
Coffee Thindi,quick bites,3.5,15,150.0,No,No,south indian,kalyan nagar,banaswadi,Coffee Thindi
Coffee Time,"takeaway, delivery",3.5,40,150.0,No,No,"sandwich, juices, burger",koramangala 6th block,btm,Coffee Time
Coffee Tindi,"cafe, quick bites",3.8,75,200.0,Yes,No,"cafe, south indian",banashankari,banashankari,Coffee Tindi
Coffee@Arens,cafe,3.8,77,550.0,Yes,No,"cafe, fast food",kalyan nagar,banaswadi,Coffee@Arens
Cold Fusion,dessert parlor,2.8,40,300.0,Yes,No,"ice cream, beverages, desserts",brookefield,whitefield,Cold Fusion
Cold Smith Ice Creams,dessert parlor,3.9,41,450.0,Yes,No,"ice cream, desserts",bellandur,sarjapur road,Cold Smith Ice Creams
Cold Station,quick bites,3.8,18,250.0,Yes,No,"fast food, desserts",malleshwaram,rajajinagar,Cold Station
Cold Stone Creamery,dessert parlor,3.9,99,400.0,Yes,No,"ice cream, desserts",bannerghatta road,bannerghatta road,Cold Stone Creamery
Combo Biriyani,delivery,2.9,6,400.0,Yes,No,biryani,brookefield,whitefield,Combo Biriyani
Combo Box,"takeaway, delivery",3.0,15,500.0,No,No,"north indian, biryani, chinese","byresandra,tavarekere,madiwala",btm,Combo Box
Combo King Paramount,food court,3.1,12,500.0,No,No,"chinese, kerala","byresandra,tavarekere,madiwala",jayanagar,Combo King Paramount
Combo Studio,casual dining,3.1,16,500.0,Yes,No,"north indian, biryani, chinese",bannerghatta road,bannerghatta road,Combo Studio
Communiti,"microbrewery, casual dining",4.6,3998,1500.0,No,No,"continental, bbq, salad",lavelle road,residency road,Communiti
Connie's Restaurant & SteakHouse,casual dining,4.2,176,400.0,No,No,"continental, burger, pizza, steak",church street,frazer town,Connie's Restaurant & SteakHouse
Container Coffee,quick bites,3.3,6,200.0,Yes,No,south indian,lavelle road,ulsoor,Container Coffee
Cookie Man,bakery,3.2,5,150.0,Yes,No,bakery,brookefield,whitefield,Cookie Man
Cooking Mom,casual dining,2.9,182,800.0,Yes,No,"north indian, andhra",bellandur,bellandur,Cooking Mom
Cool Break,dessert parlor,3.4,11,150.0,No,No,"desserts, fast food",electronic city,electronic city,Cool Break
Cool Corner,quick bites,4.2,191,250.0,Yes,No,"street food, fast food",banashankari,basavanagudi,Cool Corner
Cool Corner Arun Ice Cream,dessert parlor,3.5,8,200.0,No,No,"desserts, ice cream",church street,frazer town,Cool Corner Arun Ice Cream
Cool Joint,beverage shop,4.2,820,250.0,No,No,"beverages, desserts",basavanagudi,jayanagar,Cool Joint
Cool Lassi Burger,"beverage shop, quick bites",3.1,7,200.0,No,No,"beverages, fast food, burger","byresandra,tavarekere,madiwala",koramangala 5th block,Cool Lassi Burger
Cool Point,quick bites,3.2,7,100.0,No,No,"juices, fast food","byresandra,tavarekere,madiwala",koramangala 5th block,Cool Point
Coorg Diaries,quick bites,3.5,129,400.0,Yes,No,south indian,marathahalli,kaggadasapura,Coorg Diaries
Coorg Lunch Home,quick bites,3.6,57,300.0,Yes,No,south indian,kalyan nagar,kammanahalli,Coorg Lunch Home
Copacabana Pub,"pub, casual dining",2.8,40,1500.0,No,No,"mexican, north indian, continental",brigade road,ulsoor,Copacabana Pub
Copper Chimney,casual dining,4.1,40,1200.0,Yes,Yes,"north indian, biryani",whitefield,whitefield,Copper Chimney
Corner House Ice Cream,dessert parlor,4.1,219,400.0,No,No,"ice cream, desserts",frazer town,frazer town,Corner House Ice Cream
Corner Huts,quick bites,3.8,30,300.0,Yes,No,"north indian, chinese, biryani, south indian",bellandur,bellandur,Corner Huts
Corner Stone,"beverage shop, quick bites",3.6,42,300.0,No,No,"beverages, juices, desserts, italian",banashankari,banashankari,Corner Stone
Corprate Biriyani Adda,casual dining,3.0,5,500.0,No,No,"north indian, chinese",brookefield,whitefield,Corprate Biriyani Adda
Costa Biryanis,delivery,3.3,10,300.0,Yes,No,"andhra, biryani, north indian, south indian",bellandur,east bangalore,Costa Biryanis
Costa Coffee,cafe,3.0,6,500.0,No,No,cafe,sarjapur road,bellandur,Costa Coffee
Costal Kadai,quick bites,2.8,40,300.0,No,No,south indian,jayanagar,jp nagar,Costal Kadai
Cottage Loaf,"bakery, quick bites",4.0,50,250.0,Yes,No,"bakery, fast food",kalyan nagar,hennur,Cottage Loaf
Countryside - The Taste of Chettinad,casual dining,3.9,293,900.0,Yes,Yes,"seafood, biryani, south indian, chettinad",kalyan nagar,kalyan nagar,Countryside - The Taste of Chettinad
Covai Cafe,quick bites,3.6,17,200.0,No,No,south indian,brookefield,whitefield,Covai Cafe
Crack That,"food court, quick bites",3.3,6,500.0,No,No,continental,bellandur,bellandur,Crack That
Crafted Plate,"casual dining, cafe",4.2,237,600.0,Yes,Yes,"cafe, asian, burger, continental, italian, salad",bannerghatta road,jp nagar,Crafted Plate
Cranganore House,"takeaway, delivery",3.4,11,400.0,No,No,seafood,sarjapur road,sarjapur road,Cranganore House
Crave Bit Cafe,cafe,2.8,40,600.0,No,No,cafe,bannerghatta road,jp nagar,Crave Bit Cafe
Crave Bite,quick bites,3.6,19,400.0,No,No,"chinese, italian, fast food, momos","byresandra,tavarekere,madiwala",jayanagar,Crave Bite
CraveBelly Veg & Non veg,quick bites,2.8,40,150.0,No,No,"fast food, south indian",indiranagar,old airport road,CraveBelly Veg & Non veg
Cravings,quick bites,3.7,139,400.0,Yes,No,"north indian, chinese, rolls",bannerghatta road,bannerghatta road,Cravings
Cravingz,"beverage shop, quick bites",3.7,17,400.0,Yes,No,"fast food, beverages",whitefield,whitefield,Cravingz
Cravisthan,quick bites,2.8,40,500.0,Yes,No,"south indian, north indian",brigade road,domlur,Cravisthan
Cravy Wings,quick bites,4.2,289,400.0,Yes,No,"american, burger, fast food",bannerghatta road,bannerghatta road,Cravy Wings
Crawl Street,bar,4.2,2589,1200.0,Yes,Yes,"continental, finger food, north indian, chinese",koramangala 7th block,koramangala 5th block,Crawl Street
Crazy Crush - Juices & Desserts Cafe,beverage shop,3.4,9,300.0,Yes,No,"beverages, ice cream, fast food",brookefield,whitefield,Crazy Crush - Juices & Desserts Cafe
Crazy Pizza,"food court, quick bites",3.4,5,400.0,No,No,"pizza, fast food",rajajinagar,malleshwaram,Crazy Pizza
Cream & Fudge,dessert parlor,3.1,6,250.0,Yes,No,"ice cream, desserts",kalyan nagar,nagawara,Cream & Fudge
Cream and Bakes,dessert parlor,3.3,7,100.0,No,No,desserts,rajajinagar,basaveshwara nagar,Cream and Bakes
Cream and Fudge,dessert parlor,3.1,9,250.0,Yes,No,"ice cream, desserts",brookefield,brookefield,Cream and Fudge
Cream Chemistry,dessert parlor,3.9,75,500.0,Yes,No,"ice cream, desserts",hsr,hsr,Cream Chemistry
Cream Factory,dessert parlor,3.4,17,400.0,No,No,desserts,malleshwaram,malleshwaram,Cream Factory
Cream House,dessert parlor,3.0,28,300.0,No,No,desserts,malleshwaram,rajajinagar,Cream House
Cream N Desserts,"dessert parlor, beverage shop",3.7,49,400.0,No,No,"desserts, beverages","byresandra,tavarekere,madiwala",koramangala 7th block,Cream N Desserts
Cream Stone,dessert parlor,4.0,78,500.0,Yes,No,"desserts, beverages",brigade road,frazer town,Cream Stone
Creamvilla,"cafe, dessert parlor",3.9,66,600.0,Yes,No,"cafe, desserts, ice cream",sarjapur road,sarjapur road,Creamvilla
Creamy Zone,dessert parlor,3.2,4,100.0,No,No,"ice cream, juices",brookefield,brookefield,Creamy Zone
Creamyum,delivery,4.0,95,300.0,No,No,"bakery, desserts",kalyan nagar,hbr layout,Creamyum
Create Cafe,quick bites,3.4,9,300.0,Yes,No,italian,malleshwaram,rajajinagar,Create Cafe
Creme & Cheese,"takeaway, delivery",3.8,18,850.0,No,No,desserts,koramangala 4th block,koramangala 4th block,Creme & Cheese
Creme Bliss,bakery,3.9,42,350.0,Yes,No,"bakery, desserts",kalyan nagar,hbr layout,Creme Bliss
Crepe Nation,food truck,3.8,12,300.0,Yes,No,"fast food, desserts",bannerghatta road,south bangalore,Crepe Nation
Crescent Avenue - Hotel Bangalore International,casual dining,3.6,41,1400.0,Yes,No,"north indian, continental, chinese, asian, thai",brigade road,race course road,Crescent Avenue - Hotel Bangalore International
Crisp Cafe,"cafe, casual dining",4.0,97,1100.0,No,No,"salad, cafe, continental, steak, italian, burger, desserts, pizza",indiranagar,indiranagar,Crisp Cafe
Crispy Crust Pizza,delivery,3.1,45,450.0,Yes,No,pizza,indiranagar,indiranagar,Crispy Crust Pizza
Crispy Fried Chicken,quick bites,3.3,11,150.0,Yes,No,"burger, fast food",indiranagar,old airport road,Crispy Fried Chicken
Croons,dessert parlor,3.8,26,350.0,No,No,desserts,brigade road,brigade road,Croons
Cross Road Cafe,cafe,3.9,91,300.0,Yes,No,"cafe, fast food, chinese",banashankari,jayanagar,Cross Road Cafe
Cross Roads Cafe,cafe,3.0,59,500.0,No,No,"cafe, italian, tex-mex, fast food, burger",old airport road,indiranagar,Cross Roads Cafe
Cross Roads Inn,casual dining,2.8,40,800.0,No,No,"north indian, south indian, beverages",marathahalli,marathahalli,Cross Roads Inn
Crown Gold,quick bites,3.9,49,400.0,Yes,No,"south indian, chinese, seafood",koramangala 4th block,koramangala 4th block,Crown Gold
Crown Resto,casual dining,2.8,40,450.0,No,No,"fast food, chinese, north indian, biryani",koramangala 4th block,btm,Crown Resto
Crumb Together,"casual dining, bar",4.1,583,1200.0,Yes,Yes,"continental, finger food, north indian, chinese",bannerghatta road,jp nagar,Crumb Together
Crumbz Crunches,quick bites,3.1,44,450.0,Yes,No,"north indian, chinese",electronic city,electronic city,Crumbz Crunches
Crunch and Munch,quick bites,3.7,23,300.0,Yes,No,"chinese, street food, ice cream",banashankari,uttarahalli,Crunch and Munch
Crunch Pizzas,delivery,2.6,54,600.0,Yes,No,"italian, pizza","byresandra,tavarekere,madiwala",hsr,Crunch Pizzas
Crunch Pizzas - Express Delivery,delivery,3.0,235,500.0,Yes,No,pizza,indiranagar,indiranagar,Crunch Pizzas - Express Delivery
Crunchees Cafeteria,quick bites,3.4,11,400.0,No,No,fast food,kalyan nagar,kalyan nagar,Crunchees Cafeteria
Crunchie Corner,quick bites,4.0,44,450.0,Yes,No,"fast food, continental, desserts",brookefield,brookefield,Crunchie Corner
Crunchy Nights,delivery,3.6,27,350.0,Yes,No,"north indian, chinese, continental","byresandra,tavarekere,madiwala",btm,Crunchy Nights
CTR,quick bites,4.7,4408,150.0,Yes,No,south indian,malleshwaram,malleshwaram,CTR
Cubbon Pavilion - ITC Gardenia,fine dining,4.3,678,2500.0,No,Yes,"european, continental, chinese, thai",brigade road,richmond road,Cubbon Pavilion - ITC Gardenia
Cubbonpete Donne Biryani,quick bites,3.9,92,300.0,Yes,No,"south indian, biryani",new bel road,sahakara nagar,Cubbonpete Donne Biryani
Cucumber Town,delivery,4.2,306,600.0,Yes,No,"kerala, north indian",bannerghatta road,btm,Cucumber Town
Cultch Resto Cafe,cafe,3.7,46,600.0,No,No,cafe,brookefield,marathahalli,Cultch Resto Cafe
Cup Chronicles Cafe,cafe,3.9,48,450.0,Yes,Yes,"cafe, continental, tea, beverages, desserts",indiranagar,indiranagar,Cup Chronicles Cafe
Cup Shup,cafe,2.8,185,500.0,No,No,"cafe, continental, fast food",old airport road,indiranagar,Cup Shup
Cupcake Bliss,bakery,3.2,6,250.0,Yes,No,bakery,brookefield,brookefield,Cupcake Bliss
Cupcake Couture,delivery,3.8,40,300.0,No,No,desserts,whitefield,whitefield,Cupcake Couture
Cupcake Noggins,dessert parlor,3.9,177,300.0,No,No,"desserts, bakery",bellandur,sarjapur road,Cupcake Noggins
Cupp,cafe,2.8,40,550.0,No,No,"cafe, fast food","byresandra,tavarekere,madiwala",btm,Cupp
Cuppa,cafe,3.0,119,700.0,Yes,No,"cafe, fast food, continental",electronic city,electronic city,Cuppa
Cuppa Joy,cafe,2.8,40,500.0,No,No,"cafe, continental",kalyan nagar,kalyan nagar,Cuppa Joy
Curries & Chillies,quick bites,3.0,20,300.0,No,No,"biryani, andhra",kammanahalli,banaswadi,Curries & Chillies
Curries & Pickles,quick bites,3.4,35,400.0,Yes,No,"andhra, biryani, chinese",electronic city,electronic city,Curries & Pickles
Curries And Pickles,quick bites,2.8,28,400.0,No,No,"andhra, north indian, biryani",whitefield,whitefield,Curries And Pickles
Curries 'N' Phulkas,quick bites,3.4,6,250.0,Yes,No,north indian,electronic city,electronic city,Curries 'N' Phulkas
Curries'N' Fries,quick bites,3.7,22,400.0,No,No,andhra,hsr,hsr,Curries'N' Fries
Curry Chutney,quick bites,3.0,20,400.0,No,No,"north indian, south indian, chinese",marathahalli,marathahalli,Curry Chutney
Curry Flavours,casual dining,2.8,40,200.0,No,No,"tamil, south indian, north indian, chinese",bellandur,bellandur,Curry Flavours
Curry Leaves,casual dining,3.8,232,600.0,Yes,No,"andhra, north indian, chinese","byresandra,tavarekere,madiwala",jayanagar,Curry Leaves
Curry Point,quick bites,3.2,7,300.0,No,No,north indian,whitefield,whitefield,Curry Point
Curry Pot,casual dining,3.4,11,650.0,No,No,"north indian, chinese, continental, italian",lavelle road,majestic,Curry Pot
Curry with a 'K' - St. Mark's Hotel,casual dining,3.9,89,1400.0,No,No,"north indian, mughlai, hyderabadi",brigade road,st. marks road,Curry with a 'K' - St. Mark's Hotel
Currylicious,food court,3.1,49,800.0,No,No,"south indian, mangalorean, kerala",malleshwaram,malleshwaram,Currylicious
CutePorkie,quick bites,3.3,4,400.0,No,No,continental,kalyan nagar,kammanahalli,CutePorkie
Cutlet Shop,quick bites,3.2,9,200.0,No,No,"fast food, desserts",hsr,hsr,Cutlet Shop
D Fusion,quick bites,3.5,9,400.0,Yes,No,"fast food, chinese","byresandra,tavarekere,madiwala",bommanahalli,D Fusion
D View Cafe,"cafe, quick bites",4.0,507,1000.0,Yes,No,"cafe, italian, chinese, beverages",bannerghatta road,jp nagar,D View Cafe
D2V Cafe,cafe,3.6,13,700.0,No,No,cafe,bannerghatta road,bannerghatta road,D2V Cafe
D'7 Feast Resto Cafe,casual dining,4.1,147,600.0,No,No,"burger, pizza, continental",new bel road,new bel road,D'7 Feast Resto Cafe
Daafoodies,quick bites,3.2,4,400.0,No,No,kerala,electronic city,electronic city,Daafoodies
Daal Roti,quick bites,2.9,35,250.0,Yes,No,"north indian, chinese",banashankari,kumaraswamy layout,Daal Roti
Daawat Restaurant Bar & Pub,"bar, casual dining",3.5,9,700.0,Yes,No,"finger food, north indian, seafood, mangalorean, chinese","byresandra,tavarekere,madiwala",koramangala 7th block,Daawat Restaurant Bar & Pub
Daba Delights,delivery,3.3,9,400.0,Yes,No,"north indian, mughlai","byresandra,tavarekere,madiwala",koramangala 4th block,Daba Delights
Dabba Gosht,"takeaway, delivery",2.8,40,400.0,Yes,No,"arabian, middle eastern",electronic city,electronic city,Dabba Gosht
Dabba Karkhana,"takeaway, delivery",3.5,17,300.0,Yes,No,north indian,"byresandra,tavarekere,madiwala",btm,Dabba Karkhana
Dadaba's,quick bites,3.3,6,300.0,No,No,fast food,"byresandra,tavarekere,madiwala",jayanagar,Dadaba's
Dadi's Dum Biryani,casual dining,4.0,739,800.0,Yes,Yes,"biryani, north indian, mughlai",bannerghatta road,bannerghatta road,Dadi's Dum Biryani
Dad's Coffee Club,cafe,3.5,40,200.0,No,No,"north indian, south american, cafe",residency road,residency road,Dad's Coffee Club
Dad's Cookhouse,quick bites,4.0,44,300.0,Yes,No,"north indian, street food, chinese, fast food",bellandur,sarjapur road,Dad's Cookhouse
Daily Bite,quick bites,3.5,14,250.0,No,No,"desserts, fast food",lavelle road,richmond road,Daily Bite
Daily Bread,"bakery, quick bites",2.7,29,400.0,No,No,"bakery, fast food, italian",old airport road,indiranagar,Daily Bread
Daily Sushi,casual dining,3.8,56,900.0,Yes,No,"korean, sushi",brookefield,whitefield,Daily Sushi
Daivik,casual dining,3.3,6,650.0,No,No,"north indian, south indian, chinese",lavelle road,race course road,Daivik
Dakshin,casual dining,3.5,47,450.0,Yes,No,south indian,lavelle road,wilson garden,Dakshin
Dakshin - ITC Windsor,fine dining,4.3,202,4000.0,No,Yes,south indian,malleshwaram,sankey road,Dakshin - ITC Windsor
Dakshin Biryani & Tiffin,casual dining,3.4,334,550.0,Yes,No,"andhra, south indian, north indian",brigade road,indiranagar,Dakshin Biryani & Tiffin
Dakshin Cafe,quick bites,3.7,19,100.0,Yes,No,south indian,banashankari,kumaraswamy layout,Dakshin Cafe
Dakshin Flavors,casual dining,3.0,206,600.0,Yes,No,"south indian, north indian",hsr,hsr,Dakshin Flavors
Dakshin Food Palace,casual dining,3.7,42,450.0,Yes,No,"south indian, north indian, chinese",bannerghatta road,jp nagar,Dakshin Food Palace
Dakshin Grand,quick bites,3.0,82,300.0,Yes,No,"south indian, north indian, chinese, street food",banashankari,banashankari,Dakshin Grand
Dakshin Kitchen,quick bites,3.6,15,100.0,Yes,No,south indian,banashankari,basavanagudi,Dakshin Kitchen
Dakshin Restaurant,casual dining,3.6,16,800.0,Yes,No,"mangalorean, seafood, north indian, chinese",brigade road,brigade road,Dakshin Restaurant
Dakshin Sagar,quick bites,3.1,325,400.0,Yes,No,"south indian, north indian, chinese, street food",hsr,hsr,Dakshin Sagar
Dakshin Spice,casual dining,3.8,384,800.0,Yes,Yes,"south indian, north indian, chinese, biryani",brookefield,marathahalli,Dakshin Spice
Dal Chawal Roti,quick bites,3.3,10,400.0,No,No,"north indian, chinese",old airport road,indiranagar,Dal Chawal Roti
Dal Roti,quick bites,3.7,117,150.0,Yes,No,north indian,bannerghatta road,jp nagar,Dal Roti
Dal Roti Sabji,quick bites,4.1,81,150.0,Yes,No,north indian,indiranagar,indiranagar,Dal Roti Sabji
Dal Tadkaa,casual dining,2.5,247,500.0,Yes,No,north indian,banashankari,banashankari,Dal Tadkaa
Dalchini,casual dining,4.0,225,700.0,No,No,north indian,bellandur,bellandur,Dalchini
Dalma,casual dining,3.9,475,600.0,Yes,No,oriya,"byresandra,tavarekere,madiwala",koramangala 6th block,Dalma
Dambal's Veg,quick bites,3.2,11,250.0,Yes,No,south indian,malleshwaram,yeshwantpur,Dambal's Veg
Damodar Seth,casual dining,3.1,152,600.0,Yes,No,"bengali, chinese, north indian",brookefield,marathahalli,Damodar Seth
Danapani,casual dining,3.8,59,400.0,No,No,"north indian, south indian, chinese",bannerghatta road,jp nagar,Danapani
Dande Hyderabad Biryani,quick bites,2.8,40,500.0,Yes,No,"biryani, andhra, north indian",electronic city,electronic city,Dande Hyderabad Biryani
Dande's Hyderabad Biryani,casual dining,3.0,255,550.0,Yes,No,"biryani, north indian, chinese",hsr,bommanahalli,Dande's Hyderabad Biryani
Daniyal's,casual dining,3.5,178,800.0,Yes,No,"north indian, biryani, mughlai, kebab",brookefield,marathahalli,Daniyal's
Danny Lambas Punjabi Dhaba,casual dining,3.5,98,600.0,Yes,No,"north indian, chinese, biryani",brigade road,indiranagar,Danny Lambas Punjabi Dhaba
Darbar,bar,3.0,98,800.0,No,No,"north indian, chinese",banashankari,banashankari,Darbar
Darjeeling Hot Momos,quick bites,3.5,40,300.0,No,No,"momos, fast food",koramangala 6th block,koramangala 5th block,Darjeeling Hot Momos
