restaurant_name,restaurant_type,rate_out_of_5,num_of_ratings,avg_cost_two_people,online_order,table_booking,cuisines_type,area,local_address
Dilli Darbar,casual dining,3.4,372,500.0,Yes,No,"north indian, chinese, biryani",brookefield,whitefield
Dilli Dil Se,casual dining,3.6,20,400.0,Yes,No,north indian,brookefield,whitefield
Dilli Dil Se..,quick bites,3.8,103,400.0,Yes,No,north indian,kalyan nagar,nagawara
Dilli Galli,quick bites,3.6,43,200.0,Yes,No,north indian,whitefield,whitefield
Dilli Highway,delivery,3.0,25,400.0,No,No,north indian,kalyan nagar,kammanahalli
Dilli in a Box,"takeaway, delivery",3.7,7,400.0,Yes,No,"fast food, north indian","byresandra,tavarekere,madiwala",koramangala 7th block
Dilli6 Paratha,"takeaway, delivery",3.0,4,200.0,Yes,No,"north indian, chinese",hsr,hsr
DilliBite,quick bites,3.5,33,600.0,Yes,No,"north indian, chinese",indiranagar,ulsoor
Dindigul Thalappakatti,casual dining,2.8,40,800.0,Yes,No,"biryani, chinese, north indian, south indian",brigade road,mg road
Dindigul Time Pass Restaurant,casual dining,3.2,115,700.0,Yes,No,"south indian, north indian, chinese, biryani","byresandra,tavarekere,madiwala",hsr
Dine @ 9 Paratha Corner,quick bites,3.6,33,300.0,No,No,"north indian, chinese",old airport road,indiranagar
Dine Garden Family Restaurant,quick bites,3.5,60,400.0,Yes,Yes,"biryani, south indian, north indian, chinese",electronic city,electronic city
Dine In,quick bites,3.5,8,400.0,No,No,"kerala, south indian, north indian, chinese",lavelle road,brigade road
Dine in Restaurant,quick bites,3.4,7,500.0,No,No,"south indian, north indian, chinese","byresandra,tavarekere,madiwala",btm
Dine One One Restaurant,casual dining,3.6,15,500.0,Yes,No,"south indian, continental, north indian",bannerghatta road,bannerghatta road
Dinemaster Gogo's,quick bites,3.4,5,300.0,Yes,No,"chinese, rolls, beverages",hsr,hosur road
Dinepost 9,delivery,3.6,22,450.0,Yes,No,"north indian, chinese, biryani",whitefield,whitefield
DinePost9,delivery,3.8,798,450.0,Yes,No,"north indian, south indian, chinese, continental",bellandur,marathahalli
Dining Hut,quick bites,3.5,10,400.0,Yes,No,"north indian, chinese, south indian",banashankari,kumaraswamy layout
Dipd N Chocolate,cafe,2.8,40,300.0,Yes,No,"cafe, desserts","byresandra,tavarekere,madiwala",koramangala 7th block
District 6 Pub Brewery & Kitchen,microbrewery,4.3,2316,1800.0,No,No,"german, european, pizza, american, north indian, chinese",malleshwaram,malleshwaram
Dive,"pub, casual dining",4.3,758,1300.0,No,Yes,"continental, finger food",marathahalli,marathahalli
Divina - Eden Park Restaurants,dessert parlor,4.0,147,400.0,No,No,desserts,basavanagudi,jayanagar
Diya's Findish,quick bites,3.3,6,500.0,Yes,No,"north indian, chinese, bengali",bannerghatta road,bommanahalli
Django,cafe,4.0,209,800.0,Yes,Yes,"cafe, italian, pizza, burger, beverages",indiranagar,indiranagar
Dock Frost'd,"beverage shop, dessert parlor",4.6,110,400.0,Yes,No,"beverages, desserts",brookefield,marathahalli
Doctor Juice,beverage shop,3.9,42,300.0,Yes,No,"juices, healthy food",kalyan nagar,kammanahalli
Dodda Mane Baaduta,quick bites,3.5,15,250.0,Yes,No,"north indian, south indian, chinese, biryani",banashankari,banashankari
Dodda Mane Donne Biryani,quick bites,3.1,19,400.0,No,Yes,"biryani, beverages, south indian",brookefield,brookefield
Doff Pub and Lounge,lounge,4.1,1341,1500.0,No,Yes,"continental, american, pizza, north indian, chinese, finger food, asian, thai",indiranagar,indiranagar
Dolci Desserts,"cafe, dessert parlor",4.3,652,750.0,Yes,No,"cafe, desserts",brigade road,cunningham road
Dolphin Bar,"casual dining, pub",3.8,61,1000.0,No,No,"chinese, finger food, north indian, seafood",frazer town,frazer town
Domino's Pizza,quick bites,2.4,172,400.0,Yes,No,"pizza, fast food",marathahalli,marathahalli
Doner Bel,quick bites,3.4,64,400.0,No,No,"turkish, chinese",new bel road,new bel road
Donne Biriyani Angadi Mane,quick bites,3.4,83,250.0,Yes,No,"biryani, chinese",malleshwaram,sadashiv nagar
Donne Biriyani House,quick bites,3.1,129,300.0,Yes,No,biryani,sarjapur road,sarjapur road
Donne Biriyani Mane,casual dining,3.8,161,400.0,Yes,No,"biryani, kebab",indiranagar,jeevan bhima nagar
Donne Biryani,quick bites,3.2,10,200.0,No,No,biryani,basavanagudi,shanti nagar
Donne Biryani & Egg Rice Adda,quick bites,3.3,8,200.0,No,No,"kebab, biryani",new bel road,new bel road
Donne Biryani & Kabab Corner,quick bites,3.3,12,200.0,Yes,No,"chinese, biryani",banashankari,kumaraswamy layout
Donne Biryani Angadi Mane,quick bites,3.1,8,250.0,No,No,"biryani, south indian",indiranagar,thippasandra
Donne Biryani Hatti,quick bites,3.6,27,300.0,Yes,No,biryani,brigade road,vasanth nagar
Donne Biryani House,delivery,3.7,70,350.0,Yes,No,"south indian, biryani",hsr,hsr
Donne Biryani Kuteera,quick bites,3.7,297,200.0,Yes,No,biryani,kalyan nagar,banaswadi
Donne Biryani Mane,quick bites,3.2,7,300.0,Yes,No,biryani,brigade road,wilson garden
Donut Cafe,"dessert parlor, quick bites",3.9,163,250.0,Yes,No,"desserts, fast food",electronic city,electronic city
Doof,delivery,4.0,371,450.0,Yes,No,"fast food, beverages",electronic city,electronic city
Dosa Bazaar,quick bites,3.9,112,200.0,Yes,No,"street food, south indian","byresandra,tavarekere,madiwala",jp nagar
Dosa Cafe,quick bites,3.4,7,80.0,No,No,south indian,rajajinagar,vijay nagar
Dosa Corner,quick bites,2.8,40,200.0,Yes,No,south indian,bellandur,sarjapur road
Dosa Plaza,quick bites,3.8,139,200.0,Yes,No,"south indian, north indian, chinese, beverages","byresandra,tavarekere,madiwala",koramangala 5th block
Dosa Time,takeaway,3.8,106,200.0,Yes,No,south indian,bellandur,sarjapur road
Dosalicious,quick bites,3.3,7,150.0,Yes,No,south indian,"byresandra,tavarekere,madiwala",koramangala 6th block
Dose Manjanna,quick bites,2.8,40,100.0,No,No,south indian,basavanagudi,jayanagar
Dot.yum - Aloft Hotel,casual dining,3.9,276,2000.0,No,Yes,"italian, north indian, continental, bbq",whitefield,whitefield
Double Blend,beverage shop,3.6,11,200.0,Yes,No,"beverages, juices, ice cream","byresandra,tavarekere,madiwala",btm
Double Decker,"bar, casual dining",4.3,2651,1300.0,No,Yes,"continental, north indian",brigade road,brigade road
Downtown,pub,3.7,293,1000.0,No,No,"north indian, continental",brigade road,residency road
Dr. Bubbles,"beverage shop, dessert parlor",4.2,95,400.0,Yes,No,"beverages, desserts",basavanagudi,jayanagar
Dr. Harry's Chick Blast,quick bites,3.5,26,500.0,Yes,No,continental,kalyan nagar,rammurthy nagar
Dr. Shawarma,quick bites,3.5,4,200.0,Yes,No,"north indian, rolls, street food",hsr,hsr
Dr. Sheesha,cafe,4.1,1445,800.0,No,Yes,"cafe, chinese, continental, italian",jayanagar,jp nagar
Draggers CafÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂ©,cafe,4.1,274,900.0,Yes,No,"cafe, continental, north indian",kalyan nagar,kalyan nagar
Draggers CafÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂ©,cafe,4.0,277,900.0,Yes,No,"cafe, continental, north indian",kammanahalli,kalyan nagar
Dragon Box,takeaway,3.0,12,450.0,Yes,No,"chinese, momos",brookefield,whitefield
Dragon's Kitchen,casual dining,3.1,248,500.0,Yes,No,chinese,"byresandra,tavarekere,madiwala",hsr
D-Ra's Delicacy,delivery,3.5,40,400.0,No,No,"chinese, bakery",koramangala 6th block,koramangala 7th block
Drava,lounge,4.3,114,1500.0,No,Yes,"pizza, continental, north indian, asian",koramangala 4th block,koramangala 5th block
Dream a Dozen,delivery,4.3,132,300.0,Yes,No,"bakery, desserts",bannerghatta road,jp nagar
Dream Coffee House,cafe,3.2,6,300.0,No,No,"cafe, bakery",malleshwaram,malleshwaram
Dream Scoopers,dessert parlor,3.4,16,200.0,No,No,"ice cream, desserts",kalyan nagar,kalyan nagar
Dreamcatcher,cafe,3.9,49,600.0,Yes,No,cafe,bannerghatta road,bannerghatta road
Dreamland Food Corner,quick bites,3.7,42,400.0,Yes,No,"fast food, desserts",kalyan nagar,hennur
Dreams Cafe - All Day English Food St.,cafe,3.8,230,600.0,Yes,No,"cafe, continental, burger",koramangala 4th block,koramangala 1st block
Dream's Kitchen,casual dining,3.1,7,700.0,No,No,"north indian, andhra, chinese",bannerghatta road,bannerghatta road
Driven Cafe,cafe,3.4,122,600.0,Yes,No,"cafe, beverages, fast food",brigade road,residency road
Drunken Monkey,"beverage shop, quick bites",3.1,14,400.0,Yes,No,"beverages, fast food",indiranagar,cv raman nagar
Drunkling - Sizzlers and Pub,"casual dining, bar",4.4,344,1000.0,Yes,Yes,"chinese, continental, north indian, burger, pizza, seafood",jayanagar,koramangala 5th block
Dry Dock Cafe,quick bites,3.6,10,200.0,No,No,"street food, tea","byresandra,tavarekere,madiwala",koramangala 5th block
DS Juice CafÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂ© & Grill,quick bites,3.2,67,200.0,Yes,No,"fast food, juices, chinese",hsr,hsr
Dtink Lab,quick bites,2.8,40,80.0,No,No,"beverages, sandwich",banashankari,banashankari
Dublin - ITC Windsor,bar,4.1,187,2500.0,No,Yes,european,malleshwaram,sankey road
Dum & Oven,casual dining,3.7,29,600.0,No,No,"north indian, hyderabadi, continental","byresandra,tavarekere,madiwala",hsr
Dum Biryani Hub,quick bites,3.9,64,700.0,Yes,No,biryani,"byresandra,tavarekere,madiwala",btm
Dum Pukht Jolly Nabobs - ITC Windsor,fine dining,4.3,291,4000.0,No,Yes,north indian,malleshwaram,sankey road
Dunkin' Donuts,"quick bites, dessert parlor",2.8,40,300.0,No,No,desserts,bellandur,sarjapur road
Durbar Greens Family Restaurant,casual dining,3.6,10,700.0,No,No,"north indian, chinese, south indian","byresandra,tavarekere,madiwala",hosur road
Durbari Restaurant,casual dining,3.2,4,600.0,No,No,"north indian, chinese, mughlai",jayanagar,jp nagar
Durga Bikaner Sweets,quick bites,3.7,15,100.0,No,No,"street food, mithai",basavanagudi,jayanagar
Durga Mess,mess,3.6,33,150.0,No,No,north indian,new bel road,new bel road
Durga Sagar,quick bites,3.3,8,150.0,Yes,No,south indian,basavanagudi,shanti nagar
DVG Benne Dosa,quick bites,4.0,25,150.0,Yes,No,south indian,indiranagar,domlur
Dwaraka Grand,casual dining,3.9,128,500.0,Yes,No,"south indian, chinese, street food, juices",banashankari,kumaraswamy layout
Dwaraka Krishna,"takeaway, delivery",3.7,327,500.0,Yes,No,"north indian, biryani, chinese","byresandra,tavarekere,madiwala",btm
Dyu Art Cafe,cafe,4.5,3826,800.0,No,No,"cafe, italian, fast food","byresandra,tavarekere,madiwala",koramangala 5th block
D-Zaprino,"takeaway, delivery",2.8,40,350.0,Yes,No,"fast food, burger, pizza",kalyan nagar,nagawara
E - City Combos,"takeaway, delivery",3.5,6,350.0,Yes,No,"south indian, north indian, chinese, biryani",electronic city,electronic city
E Foods Regalia,quick bites,3.1,11,550.0,No,No,"south indian, chinese",electronic city,electronic city
E2 - EntrÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂ©e Envoy,delivery,3.5,13,550.0,No,No,"chinese, north indian, biryani",bannerghatta road,btm
Eagle Bar & Restaurant,"casual dining, bar",3.1,14,700.0,No,No,"north indian, chinese",jp nagar,jp nagar
Eagle Ridge,casual dining,3.2,8,700.0,No,Yes,"south indian, north indian, chinese",bannerghatta road,bannerghatta road
Eagles Pizza,casual dining,3.6,14,400.0,Yes,No,"pizza, italian","byresandra,tavarekere,madiwala",koramangala 7th block
Earth Plate Express,food court,3.9,33,600.0,Yes,No,"italian, continental",bannerghatta road,jp nagar
Earthen Bowl,cafe,3.9,90,700.0,No,No,"cafe, italian",marathahalli,marathahalli
East Delicious,casual dining,4.0,497,600.0,Yes,No,"chinese, thai",brookefield,marathahalli
East- The Oterra,fine dining,4.0,54,2200.0,No,Yes,"chinese, vietnamese, thai, malaysian",electronic city,electronic city
Easy Bites,"takeaway, delivery",2.8,40,300.0,Yes,No,"fast food, sandwich",electronic city,electronic city
Easy Tiger,"bar, casual dining",4.3,2240,1100.0,No,No,"finger food, continental",brigade road,church street
Eat & Drink,"quick bites, beverage shop",3.5,14,300.0,Yes,No,"fast food, chinese, beverages",malleshwaram,new bel road
Eat And Be Fit,quick bites,2.8,40,250.0,Yes,No,"biryani, rolls, north indian",brookefield,whitefield
Eat At Nite,"takeaway, delivery",3.0,58,400.0,Yes,No,"north indian, chinese, rolls",frazer town,frazer town
Eat Eroo - Bombay Vada Pav,quick bites,3.3,4,200.0,No,No,"street food, maharashtrian",marathahalli,brookefield
Eat Eroo - South China,quick bites,3.8,370,350.0,Yes,No,"south indian, chinese",marathahalli,marathahalli
Eat Food,delivery,2.8,40,400.0,Yes,No,"north indian, fast food, biryani, beverages",indiranagar,indiranagar
Eat N Drink,quick bites,3.8,32,250.0,No,No,fast food,hsr,bommanahalli
Eat N Drinks,quick bites,3.4,7,150.0,Yes,No,"kerala, beverages",bellandur,bellandur
Eat N Meet,quick bites,2.7,158,500.0,Yes,No,"kerala, south indian, north indian, chinese, beverages",electronic city,electronic city
Eat N Pack,quick bites,3.3,4,150.0,No,No,kerala,koramangala 7th block,btm
Eat Repeat,quick bites,3.9,101,150.0,Yes,No,south indian,banashankari,basavanagudi
Eat Repeat Express,casual dining,3.2,20,700.0,Yes,No,"north indian, south indian, chinese, biryani, mexican",bannerghatta road,jp nagar
Eat Sleep Eat Repeat,quick bites,3.5,16,200.0,Yes,No,"chinese, north indian, continental","byresandra,tavarekere,madiwala",koramangala 5th block
Eat Street,quick bites,4.2,1531,600.0,No,No,"north indian, chinese, italian, street food, desserts",koramangala 4th block,koramangala 6th block
Eat up's Cloud Kitchen,delivery,2.8,40,200.0,No,No,"arabian, bbq, biryani, chinese, continental, ice cream, north indian, south indian",koramangala 4th block,koramangala 1st block
Eat Well,delivery,2.9,22,400.0,Yes,No,"north indian, chinese",bannerghatta road,jp nagar
eat.fit,delivery,4.4,287,500.0,Yes,No,"healthy food, north indian, biryani, continental, sandwich, desserts",kalyan nagar,nagawara
Eatapita,quick bites,4.0,128,600.0,Yes,No,"arabian, pizza, greek, lebanese, mediterranean",frazer town,kammanahalli
Eatato Snack Bar,casual dining,3.3,11,400.0,No,No,"north indian, fast food",church street,brigade road
Eaternet,quick bites,3.6,24,300.0,No,No,"north indian, chinese, street food","byresandra,tavarekere,madiwala",btm
Eater's Cart,"takeaway, delivery",3.5,16,250.0,Yes,No,"chinese, continental, north indian, south indian",malleshwaram,rajajinagar
Eatery Have U Been,"cafe, quick bites",3.4,35,500.0,Yes,No,"cafe, chinese, fast food, burger, north indian","byresandra,tavarekere,madiwala",btm
Eating Love,cafe,4.3,149,800.0,Yes,No,"cafe, italian, pizza",bellandur,sarjapur road
Eatsaa,quick bites,3.5,8,300.0,No,No,chinese,new bel road,new bel road
Eatsomnia,delivery,2.8,40,500.0,Yes,No,"north indian, south indian, chinese, continental",bannerghatta road,jp nagar
Eatsy,"takeaway, delivery",3.5,12,300.0,No,No,"north indian, south indian",electronic city,electronic city
EatWater,"casual dining, bar",4.2,121,400.0,No,No,north eastern,lavelle road,lavelle road
Eatwell Restaurant,quick bites,3.0,8,400.0,Yes,No,"biryani, chinese, north indian",bellandur,sarjapur road
Eatzgreen,quick bites,3.8,58,500.0,Yes,No,"healthy food, south indian, fast food, north indian, beverages",brookefield,marathahalli
Ebony,casual dining,4.3,3126,1500.0,Yes,Yes,"north indian, south indian",brigade road,mg road
EC Dine Restaurant,casual dining,3.4,23,500.0,Yes,No,"south indian, north indian, kerala",electronic city,electronic city
ECHOES Koramangala,"cafe, casual dining",4.7,3197,750.0,No,No,"chinese, american, continental, italian, north indian","byresandra,tavarekere,madiwala",koramangala 5th block
Eddy's Cafe,cafe,4.1,137,750.0,Yes,No,"cafe, american, salad, continental, healthy food, italian, coffee, desserts",indiranagar,indiranagar
Eden Huts Dhaba,casual dining,3.6,33,500.0,No,No,"chinese, north indian",electronic city,electronic city
Eden Huts Restaurant,casual dining,4.0,213,400.0,No,No,"chinese, north indian",bellandur,bellandur
Eden Park,casual dining,4.1,612,1100.0,Yes,Yes,"andhra, biryani, chinese, north indian, seafood, south indian",brigade road,cunningham road
Edo Restaurant & Bar - ITC Gardenia,fine dining,4.3,231,4000.0,No,Yes,japanese,brigade road,richmond road
Egg House,quick bites,2.9,14,400.0,No,No,"continental, italian, fast food","byresandra,tavarekere,madiwala",koramangala 5th block
Egg Star,delivery,3.6,19,300.0,Yes,No,"healthy food, sandwich","byresandra,tavarekere,madiwala",hsr
EggFactor - Street House,kiosk,4.1,61,200.0,Yes,No,fast food,"byresandra,tavarekere,madiwala",hsr
Eggstacy,quick bites,4.0,233,500.0,Yes,No,"fast food, continental, chinese",malleshwaram,new bel road
Eggzotic,quick bites,3.9,391,500.0,No,No,"north indian, chinese, biryani, fast food",old airport road,domlur
El Salver,casual dining,3.9,74,700.0,Yes,Yes,"biryani, chinese, continental, north indian, kerala, south indian","byresandra,tavarekere,madiwala",btm
Elegant Dining,casual dining,3.6,225,700.0,Yes,Yes,"biryani, north indian, chinese",bannerghatta road,bannerghatta road
Elements - Mapple Express,casual dining,2.9,51,600.0,No,No,"north indian, chinese, fast food",brookefield,whitefield
Elements Eatery,casual dining,4.0,608,1100.0,No,Yes,"continental, steak",frazer town,frazer town
Ella's Petscape Cafe,cafe,4.0,19,700.0,No,No,"cafe, fast food, sandwich, pizza",sarjapur road,sarjapur road
Elmas Restaurant,casual dining,3.4,34,650.0,Yes,No,"north indian, kerala, chinese, biryani, seafood, south indian","byresandra,tavarekere,madiwala",koramangala 7th block
Elongo's,bar,3.9,48,900.0,No,No,"finger food, south indian, continental",indiranagar,indiranagar
Ember The Calabash,cafe,4.1,669,800.0,Yes,No,"cafe, italian, continental, beverages",malleshwaram,new bel road
Embers - Nandhana Grand Hotel,casual dining,3.8,38,900.0,No,No,"north indian, south indian, thai, chinese, continental","byresandra,tavarekere,madiwala",koramangala 6th block
Empark Inn Restaurant,quick bites,3.7,38,350.0,No,No,"north indian, chinese, south indian",basavanagudi,jayanagar
Empire Juice Shop,beverage shop,2.7,43,150.0,No,No,juices,rajajinagar,malleshwaram
Empire Restaurant,casual dining,3.7,2192,750.0,Yes,No,"north indian, mughlai, south indian, chinese",sarjapur road,bellandur
Enchanted Garden,"casual dining, cafe",4.3,330,1400.0,Yes,Yes,"north indian, continental, italian, cafe",brookefield,whitefield
Encyclofoodia,quick bites,3.9,26,350.0,No,No,"kerala, north indian",bannerghatta road,bannerghatta road
Energy Addaa,quick bites,4.2,64,500.0,Yes,No,"salad, healthy food, sandwich, juices, burger, desserts, pizza",banashankari,basavanagudi
Enerjuvate Studio & Cafe,cafe,4.2,731,800.0,No,Yes,"cafe, continental, beverages, healthy food, desserts, sandwich, pizza, salad",basavanagudi,jayanagar
Engine,"casual dining, bar",3.3,16,950.0,No,No,"biryani, south indian, north indian, chinese, mughlai",brigade road,ulsoor
English Channel,pub,3.7,47,1200.0,No,No,finger food,basavanagudi,jayanagar
Enroute,quick bites,3.1,23,300.0,No,No,"continental, fast food",hsr,hsr
Ente Keralam,casual dining,4.0,1095,1300.0,Yes,No,"kerala, seafood",indiranagar,ulsoor
Entree cafe,"cafe, bakery",3.7,56,400.0,Yes,No,"cafe, bakery, desserts",electronic city,electronic city
Entropy Cafe,cafe,4.1,505,600.0,Yes,No,"cafe, chinese, pizza, north indian, burger","byresandra,tavarekere,madiwala",koramangala 6th block
Envy,lounge,3.4,9,1000.0,No,No,finger food,electronic city,electronic city
Epic Biryani,"takeaway, delivery",2.8,40,300.0,No,No,"biryani, kebab",brookefield,whitefield
Equinox Bar - DoubleTree Suites By Hilton,lounge,3.9,52,1900.0,No,Yes,"continental, thai, vietnamese, american, chinese, north indian, finger food",bellandur,sarjapur road
Erivum Puliyum,quick bites,3.9,51,500.0,Yes,No,"kerala, south indian, seafood",brookefield,brookefield
Esfahan Restaurant,casual dining,3.5,148,700.0,Yes,No,"north indian, lucknowi, mughlai, biryani",electronic city,electronic city
Eshanya,casual dining,4.1,1077,1000.0,Yes,Yes,"north indian, chinese",basavanagudi,jayanagar
Eshmeet Da Dhaba,casual dining,3.1,120,500.0,Yes,No,"north indian, chinese","byresandra,tavarekere,madiwala",koramangala 6th block
Esplanade,casual dining,4.3,1563,1000.0,No,No,bengali,indiranagar,indiranagar
Essential Kitchen,quick bites,3.3,4,500.0,No,No,"chinese, fast food",jayanagar,wilson garden
Estaa Sweets,sweet shop,3.3,5,300.0,Yes,No,mithai,brookefield,whitefield
Estia - Aloft Hotel,casual dining,4.1,79,1600.0,No,Yes,mediterranean,whitefield,whitefield
Eten,delivery,3.8,32,600.0,No,No,"salad, healthy food",bannerghatta road,jp nagar
Euki,casual dining,4.0,553,900.0,Yes,Yes,"italian, mexican",jayanagar,jayanagar
Eunoia,"cafe, bakery",3.4,24,450.0,No,No,"cafe, continental, bakery",kammanahalli,kalyan nagar
Eurasia Pasta and Barbeque by Little Italy,"casual dining, bar",4.0,1065,1200.0,Yes,Yes,"italian, fast food, salad, bbq",jayanagar,jayanagar
Excelsior Bakery,bakery,3.6,15,100.0,No,No,bakery,brigade road,shivajinagar
Express Food Delivery,delivery,2.8,38,500.0,No,No,"north indian, chinese",brigade road,ulsoor
Expresso Restaurant,"takeaway, delivery",3.5,4,400.0,Yes,No,"fast food, beverages",brookefield,whitefield
F Juice,beverage shop,2.8,40,200.0,No,No,"juices, fast food",kalyan nagar,kalyan nagar
F3 Food Fun Fiesta,"takeaway, delivery",3.3,31,500.0,Yes,No,"chinese, fast food, north indian",bannerghatta road,bannerghatta road
F5,quick bites,3.2,4,300.0,No,No,"north indian, south indian, chinese, continental, arabian",whitefield,whitefield
Faasos,delivery,3.8,101,500.0,Yes,No,"north indian, biryani, fast food",brigade road,vasanth nagar
FAB Cafe,quick bites,3.1,7,250.0,No,No,"fast food, beverages",electronic city,electronic city
Fabcafe,cafe,2.8,40,800.0,No,Yes,"cafe, healthy food",basavanagudi,jayanagar
Fabelle Chocolate Boutique - ITC Gardenia,dessert parlor,4.5,232,1250.0,No,No,"desserts, ice cream, beverages",brigade road,richmond road
Fabelle Chocolate Boutique - ITC Windsor,dessert parlor,4.2,59,1250.0,No,No,"desserts, ice cream, beverages",malleshwaram,sankey road
Fabindia Cafe,cafe,4.2,221,200.0,No,No,"cafe, street food","byresandra,tavarekere,madiwala",koramangala 2nd block
Facebake,bakery,3.7,68,300.0,Yes,No,"bakery, desserts",kammanahalli,banaswadi
Fahad Hotel,quick bites,3.3,4,200.0,No,No,fast food,"byresandra,tavarekere,madiwala",jayanagar
Fai Dang,casual dining,3.3,33,1100.0,No,No,"asian, continental",old airport road,indiranagar
Falafal,"takeaway, delivery",3.3,4,200.0,Yes,No,"healthy food, juices",basavanagudi,city market
Falafel Bistro,quick bites,3.4,6,300.0,No,No,"arabian, lebanese, chinese",koramangala 4th block,koramangala 5th block
Falafel's - The Lebanese Haus,quick bites,2.9,53,300.0,No,No,lebanese,"byresandra,tavarekere,madiwala",koramangala 7th block
Falahaar,quick bites,3.9,154,200.0,No,No,"north indian, street food",koramangala 4th block,koramangala 6th block
Falooda Cafe,quick bites,2.8,40,200.0,Yes,No,"beverages, desserts","byresandra,tavarekere,madiwala",btm
Familiar Food Court,food court,2.6,43,400.0,No,No,"mughlai, chinese, north indian, south indian, beverages",hsr,hsr
Families Food Court,quick bites,3.9,261,400.0,Yes,No,"north indian, chinese, biryani, rolls",hsr,hsr
Famous Dum Biriyani,kiosk,3.1,6,200.0,No,No,biryani,jayanagar,wilson garden
Fandom at Gilly's Redefined,bar,3.8,103,1500.0,No,No,finger food,"byresandra,tavarekere,madiwala",koramangala 4th block
Fanoos,quick bites,3.9,132,400.0,Yes,No,"arabian, rolls, north indian, bbq",frazer town,frazer town
Fanoos Xprss,quick bites,3.7,53,400.0,Yes,No,"arabian, rolls, north indian, bbq",basavanagudi,jayanagar
Farha Real Taste Of Kerala,quick bites,3.1,6,300.0,Yes,No,kerala,kalyan nagar,nagawara
Farzi Cafe,"casual dining, microbrewery",4.4,2392,1500.0,No,No,modern indian,brigade road,lavelle road
Fashion Knack Cafe,cafe,3.7,18,250.0,No,No,"cafe, burger, sandwich",brookefield,whitefield
Fast And Fresh,quick bites,2.8,91,400.0,Yes,No,"north indian, chinese, fast food",banashankari,banashankari
Fat Buddha,casual dining,4.0,455,1000.0,Yes,Yes,"chinese, thai",brigade road,cunningham road
Fat Chef Biryani Wale,"takeaway, delivery",3.3,28,400.0,Yes,No,"biryani, north indian",bannerghatta road,bannerghatta road
Fatima Bakery,"bakery, quick bites",3.7,14,300.0,No,No,"bakery, fast food",brigade road,richmond road
Fatso's,cafe,3.8,72,650.0,Yes,No,"cafe, american, italian, burger",brigade road,brigade road
Fattoush,casual dining,4.1,1272,900.0,Yes,No,"arabian, mughlai, biryani, north indian, chinese, seafood","byresandra,tavarekere,madiwala",btm
Fatty Chang,quick bites,3.2,4,300.0,Yes,No,chinese,kalyan nagar,hbr layout
Fava,"casual dining, bar",4.4,2039,1200.0,No,Yes,"healthy food, mediterranean, desserts, italian, pizza, salad, kebab",brigade road,lavelle road
Fava Bistro,"casual dining, bar",4.4,383,1500.0,Yes,Yes,"mediterranean, pizza, italian, beverages","byresandra,tavarekere,madiwala",koramangala 5th block
Fazzito Kitchen,casual dining,3.8,210,700.0,No,No,north indian,indiranagar,thippasandra
Feast - Sheraton Grand Bangalore Hotel at Brigade...,fine dining,4.3,950,2000.0,No,Yes,"north indian, continental",malleshwaram,malleshwaram
Feast - Sheraton Grand Bengaluru Whitefield Hotel &...,fine dining,4.5,523,2500.0,No,Yes,"continental, asian, south indian, north indian",whitefield,whitefield
Feast and Burp,quick bites,3.3,4,300.0,No,No,north indian,bannerghatta road,bannerghatta road
Feast India Co.,casual dining,4.2,133,1500.0,Yes,No,"awadhi, bengali, north indian",brigade road,cunningham road
Feastaurant,casual dining,3.7,27,800.0,Yes,No,"bengali, chinese","byresandra,tavarekere,madiwala",hsr
Feaster,casual dining,3.8,88,600.0,Yes,No,"continental, asian, chinese, italian, north indian",hsr,hsr
Feel The Taste,quick bites,2.8,40,300.0,No,No,fast food,frazer town,hennur
Feel@Home,"takeaway, delivery",3.6,42,300.0,Yes,No,"north indian, chinese",bellandur,marathahalli
Fenny's Lounge And Kitchen,"bar, casual dining",4.5,6348,1600.0,No,Yes,"mediterranean, pizza, continental, seafood, salad","byresandra,tavarekere,madiwala",koramangala 7th block
Ferment,"casual dining, bar",2.8,40,1000.0,No,No,continental,banashankari,banashankari
Fetchpod Cafe,cafe,2.9,12,500.0,No,No,"cafe, north indian, chinese, continental",koramangala 4th block,koramangala 6th block
Fete Home Kitchen,"takeaway, delivery",2.8,40,500.0,No,No,north indian,brookefield,brookefield
Fiddler's Green,"casual dining, bar",3.9,74,1200.0,No,Yes,"continental, american, indonesian, asian, thai",kalyan nagar,kalyan nagar
Fiero! Pizzeria,quick bites,4.0,61,400.0,Yes,No,"italian, fast food, pizza",koramangala 4th block,koramangala 6th block
FIFA Cafe,cafe,3.2,4,300.0,No,No,"cafe, beverages, fast food",marathahalli,marathahalli
Fill A Belly Restaurant,quick bites,3.6,33,300.0,No,No,"north indian, chinese, fast food",sarjapur road,sarjapur road
Fill N Chill Resto Bar & Pub,bar,3.9,597,1200.0,Yes,Yes,"finger food, north indian, chinese","byresandra,tavarekere,madiwala",koramangala 4th block
Fillers,quick bites,3.9,138,300.0,Yes,No,"north indian, fast food","byresandra,tavarekere,madiwala",btm
